,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
405,impuse,impusiste,impuso,impusimos,impusisteis,impusieron
406,basté,bastaste,bastó,bastamos,bastasteis,bastaron
407,obligué,obligaste,obligó,obligamos,obligasteis,obligaron
408,confié,confiaste,confió,confiamos,confiasteis,confiaron
409,temblé,temblaste,tembló,temblamos,temblasteis,temblaron
410,pertenecí,perteneciste,perteneció,pertenecimos,pertenecisteis,pertenecieron
411,eliminé,eliminaste,eliminó,eliminamos,eliminasteis,eliminaron
412,confesé,confesaste,confesó,confesamos,confesasteis,confesaron
413,percaté,percataste,percató,percatamos,percatasteis,percataron
414,enfrié,enfriaste,enfrió,enfriamos,enfriasteis,enfriaron
415,grabé,grabaste,grabó,grabamos,grabasteis,grabaron
416,pelé,pelaste,peló,pelamos,pelasteis,pelaron
417,identifiqué,identificaste,identificó,identificamos,identificasteis,identificaron
418,distinguí,distinguiste,distinguió,distinguimos,distinguisteis,distinguieron
419,abaraté,abarataste,abarató,abaratamos,abaratasteis,abarataron
420,molesté,molestaste,molestó,molestamos,molestasteis,molestaron
421,atravesé,atravesaste,atravesó,atravesamos,atravesasteis,atravesaron
422,distribuí,distribuiste,distribuyó,distribuimos,distribuisteis,distribuyeron
423,machaqué,machacaste,machacó,machacamos,machacasteis,machacaron
424,importé,importaste,importó,importamos,importasteis,importaron
425,fabriqué,fabricaste,fabricó,fabricamos,fabricasteis,fabricaron
426,até,ataste,ató,atamos,atasteis,ataron
427,observé,observaste,observó,observamos,observasteis,observaron
428,bloqueé,bloqueaste,bloqueó,bloqueamos,bloqueasteis,bloquearon
