,Forma
1197,serruchando
1198,resoplando
1199,derrochando
1200,exprimiendo
1201,derrumbando
1202,sobresaltando
1203,desperdigando
1204,sobrescribiendo
1205,desenganchando
1206,equilibrando
1207,lamiendo
1208,expectorando
1209,exonerando
1210,triturando
1211,dañando
1212,chorreando
1213,cuajando
1214,embarrando
1215,espesando
1216,tiñendo
1217,riñendo
1218,aliñando
1219,mosqueando
1220,culpando
1221,señalando
1222,engañando
1223,añorando
1224,diseñando
1225,escaldando
1226,apuñalando
1227,desempeñando
1228,regañando
1229,entrañando
1230,reseñando
